label,change
CSC412_MATH324,5.46
CSC600_CSC415,3.68
CSC340_MATH324,4.34
MATH325_MATH324,-5.02
CSC413_MATH324,4.89
CSC412_CSC340,4.54
CSC230_CSC340,10.11
CSC656_CSC415,5.45
PHYS222_MATH324,7.37
CSC699_CSC600,-9.25
MATH324_CSC340,3.27
CSC510_CSC415,3.10
CSC230_MATH325,4.36
CSC210_MATH324,-8.67
PHYS220_MATH324,6.41
