label,change
MATH324_CSC340,-6.72
CSC300_CSC340,-5.16
CSC412_CSC415,16.54
CSC413_CSC415,15.86
CSC648_CSC600,6.09
CSC415_CSC600,6.37
CSC340_MATH325,4.38
CSC340_MATH324,4.95
MATH324_MATH325,4.49
MATH325_CSC340,-4.46
MATH325_CSC230,3.53
CSC300_CSC230,-4.59
