label,change
CSC600CSC415,7.65
CSC510MATH325,8.01
CSC300CSC230,-7.38
CSC510CSC600,-6.16
PHYS222CSC230,-3.85
MATH325MATH324,-4.88
MATH324CSC230,3.19
MATH227CSC230,-3.64
PHYS220CSC230,-3.41
CSC412CSC415,-9.56
CSC210MATH324,7.32
